WELLTAP_212               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_213               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_214               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_215               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_216               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_260               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_261               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_262               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_263               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_264               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_226               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_227               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_228               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_229               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_230               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_275               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_276               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_277               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_278               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145075            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145076            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145077            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145078            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145079            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145124            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145125            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145126            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145127            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_194               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_193               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_196               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_195               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_197               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_245               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_241               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_243               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_242               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_244               | TAPCELLBWP30P140          | Physically Disconnected
ENDCAP_15449              | BOUNDARY_RIGHTBWP30P140   | Physically Disconnected
ENDCAP_15447              | BOUNDARY_RIGHTBWP30P140   | Physically Disconnected
WELLTAP_207               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_208               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_209               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_210               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_211               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_256               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_257               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_258               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_259               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145085            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145086            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145087            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145088            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145133            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145134            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145135            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145136            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145137            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_221               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_222               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_223               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_224               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_225               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_270               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_271               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_272               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_273               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_274               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145094            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145095            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145096            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145097            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145098            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145143            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145144            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145145            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145146            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_231               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_232               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_233               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_234               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_235               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_279               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_280               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_281               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_282               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_283               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145099            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145100            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145101            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145102            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145103            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145147            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145148            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145149            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145150            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145151            | TAPCELLBWP30P140          | Physically Disconnected
ENDCAP_8                  | BOUNDARY_LEFTBWP30P140    | Physically Disconnected
ENDCAP_10                 | BOUNDARY_LEFTBWP30P140    | Physically Disconnected
WELLTAP_236               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_237               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_238               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_239               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_240               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_284               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_285               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_286               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_287               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_288               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145070            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145071            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145072            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145073            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145074            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145119            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145120            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145121            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145122            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145123            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_201               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_200               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_249               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_250               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_247               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_198               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_199               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_248               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_246               | TAPCELLBWP30P140          | Physically Disconnected
ENDCAP_15448              | BOUNDARY_LEFTBWP30P140    | Physically Disconnected
ENDCAP_15450              | BOUNDARY_LEFTBWP30P140    | Physically Disconnected
WELLTAP_145104            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145105            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145106            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145107            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145108            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145152            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145153            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145154            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145155            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145156            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145111            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145063            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145062            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145061            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145109            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145112            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145110            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145065            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145064            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145113            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_206               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_204               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_253               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_252               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_205               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_203               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_254               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_255               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_202               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_251               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145080            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145081            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145082            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145083            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145084            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145128            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145129            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145130            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145131            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145132            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_217               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_218               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_219               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_220               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_265               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_266               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_267               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_268               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_269               | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145118            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145069            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145116            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145117            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145114            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145067            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145068            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145115            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145066            | TAPCELLBWP30P140          | Physically Disconnected
ENDCAP_9                  | BOUNDARY_RIGHTBWP30P140   | Physically Disconnected
ENDCAP_7                  | BOUNDARY_RIGHTBWP30P140   | Physically Disconnected
WELLTAP_145089            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145090            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145091            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145092            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145093            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145138            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145139            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145140            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145141            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145142            | TAPCELLBWP30P140          | Physically Disconnected
