WELLTAP_144672            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144673            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144674            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144675            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144676            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144720            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144721            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144722            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144723            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144724            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144768            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144769            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144770            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144771            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144772            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144816            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144817            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144818            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144819            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144820            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144864            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144865            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144866            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144867            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144868            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144912            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144913            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144914            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144915            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144916            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144960            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144961            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144962            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144963            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_144964            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145008            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145009            | TAPCELLBWP30P140          | Physically Disconnected
WELLTAP_145010            | TAPCELLBWP30P140          | Physically Disconnected
